"district_name","company","hwy_routes","local_routes","total"
"台中區監理所","中鹿客運","1","0","1"
"台中區監理所","台中客運","5","1","6"
"台中區監理所","全航客運","0","1","1"
"台中區監理所","杉林溪遊樂","0","1","1"
"台中區監理所","南投客運","0","24","24"
"台中區監理所","員林客運","1","43","44"
"台中區監理所","彰化客運","0","28","28"
"台中區監理所","總達客運","0","2","2"
"台中區監理所","豐原客運","1","0","1"
"台中區監理所","豐榮客運","0","2","2"
"高雄區監理所","東台灣客運","0","26","26"
"高雄區監理所","屏東客運","0","36","36"
"高雄區監理所","高雄客運","0","6","6"
"高雄區監理所","興東客運","0","16","16"
"新竹區監理所","中壢客運","3","0","3"
"新竹區監理所","亦捷科際","0","23","23"
"新竹區監理所","亞通客運","1","0","1"
"新竹區監理所","金牌客運","0","1","1"
"新竹區監理所","科技之星","0","1","1"
"新竹區監理所","苗栗客運","0","19","19"
"新竹區監理所","桃園客運","4","0","4"
"新竹區監理所","捷乘客運","0","9","9"
"新竹區監理所","新竹客運","2","0","2"
"新竹區監理所","路線公告","0","1","1"
"嘉義區監理所","日統客運","0","2","2"
"嘉義區監理所","和欣客運","7","0","7"
"嘉義區監理所","統聯客運","4","0","4"
"嘉義區監理所","嘉義客運","0","32","32"
"嘉義區監理所","嘉義縣公車處","0","27","27"
"嘉義區監理所","臺西客運","2","37","39"
"臺北市區監理所","大都會客運","2","0","2"
"臺北市區監理所","中興大業巴士","1","0","1"
"臺北市區監理所","台聯客運","2","0","2"
"臺北市區監理所","光華巴士","1","0","1"
"臺北市區監理所","汎航通運","4","0","4"
"臺北市區監理所","泰樂客運","2","0","2"
"臺北市區監理所","國光客運","1","0","1"
"臺北市區監理所","新北客運","0","1","1"
"臺北市區監理所","豪泰客運","1","0","1"
"臺北區監理所","三重客運","3","0","3"
"臺北區監理所","大有巴士","4","0","4"
"臺北區監理所","日豪客運","2","0","2"
"臺北區監理所","亞聯客運","1","0","1"
"臺北區監理所","指南客運","2","0","2"
"臺北區監理所","首都客運","5","0","5"
"臺北區監理所","國光客運","51","11","62"
"臺北區監理所","基隆客運","5","2","7"
"臺北區監理所","統聯客運","32","18","50"
"臺北區監理所","葛瑪蘭客運","4","0","4"
"臺北區監理所","臺北客運","3","0","3"
